AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,Room
-49,-46,-59,-57,-62,-64,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2051
-58,-61,-51,-67,-75,-67,0,0,-91,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2051
-62,-64,0,-71,-72,-80,0,0,-90,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2061
-64,-84,-70,-80,-73,-68,-86,0,-90,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2061
-65,-71,-73,-81,-69,-72,0,0,-85,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2061
-72,-68,-75,-65,-83,-72,0,0,-92,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2061
-68,-73,-63,-74,-71,-71,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2061
-74,-68,-72,-79,-57,-67,-75,0,-78,-62,0,0,0,0,-69,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071
-66,-72,-73,-83,-69,-64,-80,0,-80,-62,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,2071
-70,-67,-78,0,-73,-68,-74,0,-77,-52,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071
-74,-64,-72,-83,-59,-61,-77,0,-80,-64,0,0,0,0,-81,-80,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,2071
-69,-72,-71,-77,-64,-57,-69,0,-77,-58,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071
-84,0,-80,-85,0,-77,0,0,-75,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081
-83,0,-79,-86,-75,-72,-74,-72,-77,-70,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081
-73,-77,0,-81,-69,-74,-65,-72,-77,-69,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081
-80,-83,0,0,-87,-70,-62,-72,-78,-69,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081
0,0,0,0,-94,0,-46,-59,-48,-83,-80,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
0,0,0,0,0,0,-48,-59,-54,0,-87,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
0,0,0,0,0,-80,-47,-56,-58,-80,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
0,0,0,0,0,0,-50,-74,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
0,0,0,0,0,0,-50,-68,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
0,0,0,0,0,0,-51,-75,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
-86,0,0,0,-84,-73,-53,-63,-56,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091
-82,0,0,0,0,-61,-54,-70,-57,-53,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091
-83,0,-85,0,0,-71,-59,-74,-65,-52,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091
0,0,0,0,-81,-85,-49,-67,-54,-73,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091
0,0,0,0,-91,-79,-55,-66,-58,-69,-87,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091
0,0,0,0,-87,0,-68,-54,-77,-65,-80,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101
0,0,0,0,0,-86,-71,-42,-73,-71,-75,-74,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101
0,0,0,0,0,0,-73,-47,-79,-68,-82,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101
0,0,0,0,0,-85,-66,-50,-72,-68,-78,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101
0,0,0,0,0,-76,-67,-53,-74,-61,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101
0,0,0,0,0,0,-70,-48,-72,0,-72,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101
0,0,0,0,0,0,-62,-47,-68,0,-74,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
0,0,0,0,0,0,-66,-54,-70,0,-69,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
0,0,0,0,0,0,-60,-49,-63,0,-71,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
0,0,0,0,0,0,-69,-50,-75,0,-84,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
0,0,0,0,0,0,-69,-59,-66,0,-79,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
0,0,0,0,0,0,-70,-50,-76,0,-77,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
0,0,0,0,0,0,-66,-55,-80,0,-70,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
0,0,0,0,0,0,-82,-69,-90,-66,-65,-58,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
0,0,0,0,0,0,0,-67,-84,-64,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
0,0,0,0,0,0,0,-76,-83,-77,-64,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
0,0,0,0,0,0,-76,-71,-86,-69,-72,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
0,0,0,0,0,0,-84,-59,-89,-78,-72,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
0,0,0,0,0,0,0,-76,-89,0,-68,-62,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
0,0,0,0,0,0,-75,-78,-88,-71,-74,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
-67,-76,-74,0,-71,-68,-79,0,-81,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,-80,0,0,0,-85,0,0,0,0,232
-79,0,0,0,-76,-71,0,0,0,-70,0,0,0,0,-72,-81,0,0,0,-86,0,0,0,0,0,0,0,0,-81,0,0,0,0,232
-61,-71,0,0,-71,-59,-77,-82,-86,-70,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
-73,-78,-67,-82,-70,-75,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
-80,0,0,-89,0,-74,0,0,0,-77,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
-75,-82,0,0,-73,-83,-82,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
0,0,0,0,0,0,0,0,0,0,0,0,-66,-71,-55,-45,-56,-67,-57,-66,0,-73,-81,0,0,0,0,0,-68,0,0,0,0,233
0,0,0,0,0,-85,0,0,0,0,0,0,-69,-66,-49,-59,-64,0,-64,-66,0,0,0,0,-80,0,0,0,-58,-85,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,-67,-64,-52,-54,-50,-83,-63,-74,0,-82,0,0,-79,0,0,0,-62,-73,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,0,-60,-51,-52,-53,-62,-61,-66,0,0,-82,0,-75,0,0,0,-72,0,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,-68,-61,-52,-65,-52,0,-64,-74,0,-79,-83,0,0,0,0,0,-73,0,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,-74,-79,-62,-73,-48,-76,0,-77,0,0,0,0,0,0,0,0,-64,0,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,-78,-73,-53,-62,-49,-73,-65,-75,0,-85,0,0,0,0,0,0,-79,0,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,-79,-76,-45,-63,-52,-71,-72,-69,0,0,0,0,0,0,0,0,-71,-86,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,-59,-64,-50,-56,-64,-71,-66,-76,0,-86,-77,0,-77,0,0,0,-72,0,0,0,0,2121
0,0,0,0,0,0,0,0,0,0,0,0,-71,-54,-68,-54,-60,-63,-69,-74,0,-82,-77,0,0,0,0,0,-80,0,0,0,0,2121
0,0,0,0,0,0,0,0,0,0,0,0,-60,-50,-49,-51,-62,-64,-61,-67,0,-78,-72,0,-74,0,0,0,-71,-87,0,0,0,2121
0,0,0,0,0,0,0,0,0,0,0,0,-64,-56,-58,-58,-66,-67,-64,-75,0,-86,-75,0,-76,0,0,0,-71,0,0,0,0,2121
0,0,0,0,0,0,0,0,0,0,0,0,-60,-66,-58,-53,-70,-63,-63,-68,-79,-81,-76,0,0,0,0,0,-78,0,0,0,0,2131
0,0,0,0,0,0,0,0,0,0,0,0,-62,-56,-54,-46,0,-58,-60,-73,0,-74,-75,0,-71,0,0,0,-70,-85,0,0,0,2131
0,0,0,0,0,0,0,0,0,0,0,0,-58,-56,-58,-46,0,-59,-51,-71,0,-72,-73,0,-72,0,0,0,-71,0,0,0,0,2131
0,0,0,0,0,0,0,0,0,0,0,0,-69,-60,-53,-43,0,-55,-54,-71,0,-72,-79,0,-74,0,0,0,-76,0,0,0,0,2131
0,0,0,0,0,0,0,0,0,0,0,0,-78,-75,-62,-60,-64,-66,-63,0,0,-77,-72,0,-78,0,0,0,-81,0,0,0,0,2141
