AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,AP34,AP35,AP36,AP37,AP38,AP39,AP40,AP41,AP42,AP43,AP44,Room
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,-67,0,-65,0,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,-66,-56,0,0,0,-53,-44,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,-65,-63,-70,0,-62,-45,-45,0,-82,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,-62,-54,-67,0,0,-46,-47,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-66,0,0,-63,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,-82,-68,-81,0,-69,-53,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415
0,-81,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,-71,0,0,-52,-64,-50,0,0,0,-80,0,-81,0,-83,0,0,0,0,0,0,0,0,0,0,0,4151
0,-77,0,-81,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,-67,-64,-71,0,-54,0,-44,-61,-72,0,-79,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,4151
0,-74,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,-66,-61,-73,0,-60,0,-41,0,-72,0,-76,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,4151
0,-77,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,-72,-65,-74,0,-60,-57,-44,0,-67,-84,-68,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,4151
0,-72,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,-69,-76,0,-56,0,-57,0,0,0,-73,0,0,0,-83,0,-82,0,0,0,0,0,0,-83,0,0,4151
0,-79,0,0,0,0,0,0,0,0,0,0,0,-83,-73,0,0,0,0,-63,0,0,-74,-63,-49,0,0,-88,-81,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,4151
0,-83,0,0,0,0,0,0,0,0,0,0,-83,-82,-75,0,0,-83,-56,-42,-66,-55,0,0,-68,0,-83,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
0,0,0,0,0,0,0,0,0,0,0,0,-79,-80,-68,0,0,0,-51,-58,-70,-62,0,0,-73,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
0,-84,0,0,0,0,0,0,0,0,0,0,-86,-83,-70,0,0,0,-57,-65,-74,0,0,0,-73,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
0,-84,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,-62,-65,-70,0,0,0,-73,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
0,-84,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,-71,-59,-67,0,0,0,-79,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
0,-82,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,-62,-61,-57,-61,0,0,-70,0,-82,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
0,0,0,0,0,0,0,0,0,0,0,0,-83,0,-67,0,0,0,-59,-65,-69,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
0,0,0,0,0,0,0,0,0,0,0,0,-75,-76,-51,0,0,0,-73,-76,0,-81,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4131
