AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,AP34,AP35,AP36,AP37,AP38,AP39,AP40,AP41,AP42,AP43,AP44,AP45,AP46,AP47,AP48,AP49,Room
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,-85,-82,-65,-69,-55,-66,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,-88,-66,-72,-60,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-79,-74,-70,-71,-89,-63,-69,0,-83,0,-89,0,0,0,0,533
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-74,-69,-59,-67,-78,-55,-70,0,-76,0,-87,0,0,0,0,533
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-76,-68,-74,0,-51,-55,0,-73,0,-85,0,0,0,0,533
-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-85,-77,-73,-68,-74,0,-53,-59,0,-73,0,-77,-90,0,0,0,533
-82,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,-85,-70,-83,0,-49,0,-68,-71,0,-79,-78,0,0,-76,537
-90,0,-90,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-88,-75,-69,-67,0,-56,0,0,-79,0,-82,-84,0,0,-75,537
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-79,-72,-71,0,-46,0,0,-75,0,-81,-89,0,0,0,537
-87,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,-72,-74,0,-52,0,0,-76,0,-77,-86,0,0,0,537
0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,0,-64,-56,0,-63,-76,0,0,0,526
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-70,-60,-58,-64,-66,-76,0,0,0,526
0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,-64,-72,-55,-55,-68,-65,-78,0,0,0,526
0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,-55,-59,-62,-54,-66,-66,-82,0,0,0,526
-83,0,-87,-90,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,-43,-53,0,-62,-71,-75,-82,0,0,0,5261
-90,0,-90,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,-78,0,0,-48,-50,0,-65,0,-79,-85,0,0,0,5261
-86,0,-89,-84,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,-58,-59,0,-66,0,-78,-82,0,0,0,5261
-78,0,-84,-82,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,-57,0,-59,-60,-69,-68,-79,0,0,0,5261
-86,0,-89,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,-54,0,-55,-51,0,-67,-79,0,0,0,5271
-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-82,-86,0,-49,-60,-59,-54,0,-72,-83,0,0,0,5271
-84,0,-84,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,-58,-58,-53,-60,0,-65,-74,0,0,0,5271
-76,0,-87,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,-57,-64,-54,-54,-59,-62,-71,0,0,-74,5271
-77,0,-85,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,-67,-70,-56,-58,-62,-61,-77,0,0,0,5271
-77,0,-74,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,-70,-80,-68,-66,-59,-59,0,0,0,0,5281
-75,-86,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,-67,-73,0,-65,-66,-48,-66,0,0,-74,5281
-84,0,-89,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,-66,-78,0,-59,0,-54,-73,0,-86,0,5281
0,0,-84,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,-67,-67,0,-62,-56,-52,-67,-73,0,0,5281
-84,0,-88,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,-61,0,-64,-60,-59,-59,-72,0,0,0,5281
-77,0,-77,-78,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,-89,0,0,-64,0,0,-58,0,-54,-72,-80,0,0,5281
-80,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,-69,0,0,-73,-62,-58,-60,-61,0,0,5291
-75,0,-80,0,-85,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,-73,-61,-62,-64,-59,0,-73,5291
-79,-87,-78,-72,-88,0,-87,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,-82,0,-75,-76,-63,-62,-57,-56,0,0,5291
0,0,-80,-70,-87,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,-55,-60,-57,0,0,0,5291
-85,0,-76,-64,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,-72,-67,0,-75,-71,-64,-55,-51,0,0,5291
